Type      data      AOT_index AOT_f          Rnidx_f   Inidx_f        Reff_f       Veff_f     AOT_c           Rnidx_c   Inidx_c         Reff_c      Veff_c     AOT_t(555nm)    SSA(555nm)
Greenbelt uncertainty 3	 0.0053567978    0.0044487288    0.0011211314    0.0017670696    0.0083604704    0.0030967075    0.0052329590   0.00053294026      0.25712628      0.16470494   0.0060018423  0.0077137390   
Greenbelt uncertainty 4	 0.0057158391    0.0040320572   0.00059701596    0.0013244504    0.0060785737    0.0037848827    0.0037960498   0.00025353285      0.52483258      0.16407590   0.0066299832  0.0059224269   
Greenbelt uncertainty 5	 0.0077463003    0.0025852699   0.00033895127   0.00091634838    0.0040949067    0.0053493170    0.0024323590   0.00016703506      0.37553984      0.13832387   0.0085536851  0.0037125707
Mexico parameter 1 0.0351000      1.47000    0.0140000     0.165000     0.203000   0.00390000      1.47000    0.0140000      4.42900     0.487000  0.0390000    0.89091960      
Mexico parameter 2 0.0756000      1.47000    0.0140000     0.165000     0.203000   0.00840000      1.47000    0.0140000      4.42900     0.487000  0.0840000    0.89091957      
Mexico parameter 3 0.110700      1.47000    0.0140000     0.165000     0.203000    0.0123000      1.47000    0.0140000      4.42900     0.487000  0.123000     0.89091958      
Mexico parameter 4 0.162900      1.47000    0.0140000     0.165000     0.203000    0.0181000      1.47000    0.0140000      4.42900     0.487000  0.181000     0.89091960      
Mexico parameter 5 0.311400      1.47000    0.0140000     0.165000     0.203000    0.0346000      1.47000    0.0140000      4.42900     0.487000  0.346000     0.89091960 
Mexico uncertainty 1 0.0046819185     0.017620261    0.0041678069    0.0058931653     0.021440318    0.0015590921     0.033092386    0.0087530973       1.1291514      0.18170355   0.0048078143    0.021426236  
Mexico uncertainty 2 0.0064954712    0.0086911869    0.0027680155    0.0035487379     0.012821164    0.0025966231     0.018055386    0.0070185267      0.92722354      0.16980636   0.0065917433    0.014254415  
Mexico uncertainty 3 0.0073542840    0.0064982297    0.0020477416    0.0027196234    0.0098561799    0.0031849788     0.013548519    0.0058394037      0.82012500      0.16098972   0.0073794520    0.011459830  
Mexico uncertainty 4 0.0078346244    0.0054930880    0.0013034478    0.0020349814    0.0074977558    0.0037507796     0.010227905    0.0046602434      0.72112638      0.14881702   0.0077354657    0.0089314002 
Mexico uncertainty 5 0.0099588415    0.0033428630   0.00073501657    0.0013006934    0.0049656755    0.0044724963    0.0063758021    0.0030487351      0.59453894      0.12289134   0.0096864787 0.0054812619
Maldives parameter 1 0.0351000      1.44000    0.0110000     0.222000     0.236000   0.00390000      1.44000    0.0110000      4.96200     0.782000  0.0390000    0.90913664      
Maldives parameter 2 0.0756000      1.44000    0.0110000     0.222000     0.236000   0.00840000      1.44000    0.0110000      4.96200     0.782000	0.0840000   0.90913660      
Maldives parameter 3  0.110700      1.44000    0.0110000     0.222000     0.236000    0.0123000      1.44000    0.0110000      4.96200     0.782000	0.123000     0.90913662      
Maldives parameter 4   0.162900      1.44000    0.0110000     0.222000     0.236000    0.0181000      1.44000    0.0110000      4.96200     0.782000	0.181000     0.90913664      
Maldives parameter 5    0.311400      1.44000    0.0110000     0.222000     0.236000    0.0346000      1.44000    0.0110000      4.96200     0.782000	0.346000     0.90913664  
Maldives uncertainty 1 0.0055528871     0.011220830    0.0038978335    0.0076271064     0.032880151    0.0018906332     0.023465839    0.0067585084       1.2399163      0.18788061   0.0058636106    0.019586765  
Maldives uncertainty 2 0.0084732737    0.0069770870    0.0025489444    0.0048526877     0.023336983    0.0033823767     0.011911258    0.0047664423       1.1261473      0.18346880   0.0090505118     0.014875627 
Maldives uncertainty 3 0.0098370819    0.0054276057    0.0020398275    0.0037775672     0.018455822    0.0044169562    0.0085383058    0.0038878278       1.0227524      0.17912199   0.010680209     0.012983221  
Maldives uncertainty  4 0.011273761    0.0041723742    0.0015960604    0.0029094463     0.014304818    0.0055715702    0.0061710462    0.0030717483      0.89033695      0.17324377   0.012425405     0.010929896  
Maldives uncertainty 5 0.013900458    0.0025893574   0.00099049631    0.0018180309    0.0090393494    0.0076456231    0.0036811701    0.0018883594      0.65531950      0.15751830   0.015220334     0.0074535205


